equipo,edicion,pais,valor_mercado,promedio_valor_mercado,promedio_edad,cantidad_jugadores,cantidad_jugadores_extranjeros
CD Antofagasta,2019,Ecuador,12.65,0.395,25.9,32,32
CD La Equidad Seguros SA,2019,Ecuador,14.8,0.379,24.7,39,39
Atletico River Plate Montevideo,2019,Ecuador,7.73,0.234,24.3,33,33
Unión La Calera,2019,Ecuador,15.58,0.519,25.2,30,30
Montevideo Wanderers,2019,Ecuador,8.45,0.228,23.9,37,37
CD Palestino,2019,Ecuador,10.03,0.271,24.7,37,37
Club Deportivo Guabirá,2019,Ecuador,1.85,0.071,25.1,26,26
Águilas Doradas,2019,Ecuador,23.23,0.465,26.5,50,50
CD Macará,2019,Ecuador,11.85,0.304,25.2,39,5
Deportivo Municipal,2019,Ecuador,6.53,0.21,23.5,31,31
CA Nacional Potosí,2019,Ecuador,2.23,0.097,27.4,23,23
Sport Huancayo,2019,Ecuador,5.63,0.176,28.0,32,32
Universidad Técnica de Cajamarca,2019,Ecuador,5.95,0.22,26.4,27,27
Mushuc Runa SC,2019,Ecuador,9.2,0.204,26.8,45,9
Caracas FC,2019,Ecuador,10.08,0.206,23.6,49,49
Deportivo Binacional,2019,Ecuador,5.95,0.198,26.7,30,30
Club Sol de América,2019,Ecuador,2.3,0.061,25.3,38,38
Monagas SC,2019,Ecuador,11.15,0.18,23.1,62,62
Deportivo Lara,2019,Ecuador,10.63,0.174,24.4,61,61
Club Atlético Cerro,2019,Ecuador,5.68,0.158,25.1,36,36
Estudiantes de Mérida,2019,Ecuador,5.48,0.152,25.2,36,36
Mineros de Guayana,2019,Ecuador,6.95,0.17,25.2,41,41
Zulia FC,2019,Ecuador,4.63,0.136,22.8,34,32
CD Santaní,2019,Ecuador,4.23,0.077,24.9,55,55
Independiente FBC,2019,Ecuador,0.3,0.013,25.4,23,23
Clube Atlético Mineiro,2018,Ecuador,59.5,1.17,24.2,51,50
São Paulo FC,2018,Ecuador,78.0,1.56,24.0,50,48
Fluminense Football Club,2018,Ecuador,37.73,0.65,23.4,58,56
Club Athletico Paranaense,2018,Ecuador,40.6,0.781,24.9,52,52
Botafogo de Futebol e Regatas,2018,Ecuador,32.8,0.729,24.1,45,45
Club Atlético Colón,2018,Ecuador,37.3,1.07,26.6,35,34
CSD Defensa y Justicia,2018,Ecuador,32.73,0.744,25.3,44,44
Club Atlético Lanús,2018,Ecuador,48.3,1.05,25.8,46,46
CA Newell's Old Boys,2018,Ecuador,23.55,0.548,25.1,43,43
CA Banfield,2018,Ecuador,21.23,0.531,24.3,40,40
Club de Regatas Vasco da Gama,2018,Ecuador,63.45,1.15,24.9,55,54
Junior de Barranquilla,2018,Ecuador,29.85,0.694,25.3,43,43
Millonarios FC,2018,Ecuador,23.4,0.709,25.7,33,33
Club Nacional,2018,Ecuador,25.75,0.599,25.7,43,43
CA San Lorenzo de Almagro,2018,Ecuador,49.83,1.11,25.8,45,45
Barcelona SC Guayaquil,2018,Ecuador,23.95,0.704,25.8,34,4
Esporte Clube Bahia,2018,Ecuador,34.9,0.727,24.1,48,48
CA Peñarol,2018,Ecuador,18.18,0.454,25.0,40,39
CA Rosario Central,2018,Ecuador,33.53,0.745,25.1,45,45
LDU Quito,2018,Ecuador,17.25,0.556,24.4,31,6
Independiente Medellín,2018,Ecuador,22.8,0.556,24.4,41,40
Deportivo Cali,2018,Ecuador,19.58,0.416,23.8,47,47
CD América de Cali,2018,Ecuador,23.45,0.442,25.1,53,53
Bolívar La Paz,2018,Ecuador,7.53,0.279,27.9,27,27
Club Sporting Cristal,2018,Ecuador,6.98,0.233,24.1,30,30
Independiente Santa Fe,2018,Ecuador,26.23,0.69,27.3,38,38
Unión Española,2018,Ecuador,10.4,0.289,23.6,36,36
CD Everton,2018,Ecuador,8.85,0.285,24.5,31,31
Club Jorge Wilstermann ,2018,Ecuador,3.0,0.13,28.7,23,23
Audax Italiano,2018,Ecuador,7.65,0.225,24.8,34,34
CA Boston River,2018,Ecuador,6.2,0.155,24.2,40,40
Club Deportivo Guabirá,2018,Ecuador,1.0,0.05,24.9,20,20
Blooming Santa Cruz,2018,Ecuador,2.45,0.117,27.1,21,21
Defensor Sporting Club,2018,Ecuador,11.23,0.321,24.0,35,35
Club Nacional Asunción,2018,Ecuador,2.4,0.089,26.6,27,27
Jaguares de Córdoba,2018,Ecuador,15.88,0.378,27.1,42,42
CA Nacional Potosí,2018,Ecuador,1.08,0.051,29.0,21,21
Deportivo Cuenca,2018,Ecuador,7.78,0.21,23.1,37,6
Sport Huancayo,2018,Ecuador,9.15,0.199,26.9,46,46
Universidad Técnica de Cajamarca,2018,Ecuador,5.83,0.182,25.1,32,32
Danubio FC,2018,Ecuador,10.15,0.242,23.1,42,42
Caracas FC,2018,Ecuador,8.75,0.213,22.9,41,41
Club Sol de América,2018,Ecuador,2.4,0.092,26.7,26,26
Deportes Temuco,2018,Ecuador,7.23,0.201,25.5,36,36
Zamora FC,2018,Ecuador,6.53,0.152,22.4,43,43
Club Atlético Cerro,2018,Ecuador,6.65,0.208,26.7,32,32
Estudiantes de Mérida,2018,Ecuador,5.08,0.145,24.6,35,35
Rampla Juniors FC,2018,Ecuador,7.5,0.188,24.9,40,40
Mineros de Guayana,2018,Ecuador,7.1,0.169,24.6,42,42
CD El Nacional,2018,Ecuador,12.95,0.381,24.3,34,0
Sportivo Luqueño,2018,Ecuador,2.1,0.1,27.5,21,21
GV Club Deportivo San José Oruro,2018,Ecuador,2.0,0.1,30.0,20,20
Club General Díaz de Luque,2018,Ecuador,2.45,0.102,27.0,24,24
Rosario FC,2018,Ecuador,6.98,0.148,23.7,47,47
Clube de Regatas do Flamengo,2017,Ecuador,73.95,1.72,25.3,43,43
Sport Club Corinthians Paulista,2017,Ecuador,50.25,1.23,24.3,41,41
Fluminense Football Club,2017,Ecuador,40.4,0.842,23.6,48,46
Racing Club,2017,Ecuador,66.53,1.13,25.6,59,59
Club Estudiantes de La Plata,2017,Ecuador,49.48,0.951,25.3,52,51
CSD Defensa y Justicia,2017,Ecuador,25.45,0.592,24.9,43,43
Club Atlético Independiente,2017,Ecuador,51.55,1.1,26.1,47,46
Club Libertad Asunción,2017,Ecuador,9.18,0.287,26.1,32,32
Club Cerro Porteño,2017,Ecuador,12.3,0.397,26.0,31,31
Junior de Barranquilla,2017,Ecuador,31.13,0.724,26.2,43,43
CA Huracán,2017,Ecuador,27.58,0.53,26.3,52,51
Club Olimpia Asunción,2017,Ecuador,16.7,0.506,26.7,33,31
LDU Quito,2017,Ecuador,17.2,0.478,24.7,36,6
Independiente Medellín,2017,Ecuador,26.58,0.648,26.1,41,41
Deportivo Cali,2017,Ecuador,19.95,0.539,24.6,37,37
Club Atlético Tucumán,2017,Ecuador,23.73,0.448,26.1,53,53
Sport Club do Recife,2017,Ecuador,37.3,0.91,25.0,41,41
Bolívar La Paz,2017,Ecuador,6.85,0.245,27.0,28,28
CD Universidad Católica,2017,Ecuador,13.08,0.304,21.7,43,6
Independiente Santa Fe,2017,Ecuador,27.13,0.714,26.4,38,37
Associação Chapecoense de Futebol,2017,Ecuador,35.05,0.687,24.9,51,49
Associação Atlética Ponte Preta SP,2017,Ecuador,37.25,0.73,25.4,51,51
Arsenal Fútbol Club,2017,Ecuador,14.25,0.339,26.2,42,42
Club Deportivo Oriente Petrolero,2017,Ecuador,4.38,0.156,24.5,28,27
CA Boston River,2017,Ecuador,7.28,0.173,24.9,42,42
CD Palestino,2017,Ecuador,12.03,0.227,24.1,53,53
Club Nacional Asunción,2017,Ecuador,6.53,0.242,27.1,27,27
CA Nacional Potosí,2017,Ecuador,1.18,0.042,29.4,28,28
Boyacá Patriotas FC,2017,Ecuador,10.03,0.251,24.1,40,40
Club Sol de América,2017,Ecuador,6.33,0.234,26.6,27,27
Deportes Iquique,2017,Ecuador,9.4,0.214,24.7,44,44
Fuerza Amarilla SC,2017,Ecuador,8.85,0.15,24.4,59,8
São Paulo FC,2017,Ecuador,92.28,1.77,24.7,52,51
Deportes Tolima,2017,Ecuador,18.25,0.48,25.6,38,38
Club de Gimnasia y Esgrima La Plata,2017,Ecuador,23.88,0.555,26.2,43,43
Cruzeiro Esporte Clube,2017,Ecuador,67.8,1.54,25.1,44,43
CD Everton,2017,Ecuador,12.38,0.253,23.9,49,49
Liverpool FC Montevideo,2017,Ecuador,13.15,0.235,23.9,56,56
Universidad de Chile,2017,Ecuador,19.18,0.436,24.8,44,44
Club Alianza Lima,2017,Ecuador,6.9,0.223,24.4,31,31
CD O'Higgins,2017,Ecuador,11.55,0.246,23.7,47,47
Águilas Doradas,2017,Ecuador,15.15,0.379,26.1,40,40
Defensor Sporting Club,2017,Ecuador,10.5,0.284,23.8,37,37
Deportivo Cuenca,2017,Ecuador,10.9,0.303,23.6,36,4
Sport Huancayo,2017,Ecuador,6.03,0.183,27.5,33,33
Danubio FC,2017,Ecuador,15.68,0.275,23.8,57,57
Caracas FC,2017,Ecuador,11.65,0.259,23.6,45,45
Comerciantes Unidos,2017,Ecuador,5.43,0.147,25.8,37,37
Club Juan Aurich,2017,Ecuador,6.75,0.157,24.3,43,43
Sportivo Luqueño,2017,Ecuador,3.43,0.156,28.3,22,22
Atlético Venezuela,2017,Ecuador,8.95,0.179,24.7,50,50
Club Petrolero,2017,Ecuador,0.45,0.021,27.9,21,21
Estudiantes de Caracas SC,2017,Ecuador,1.23,0.037,23.5,33,33
Deportivo Anzoátegui SC,2017,Ecuador,6.78,0.178,23.6,38,38
Club Cerro Porteño,2016,Ecuador,18.2,0.52,26.4,35,35
Independiente Santa Fe,2016,Ecuador,29.2,0.512,24.9,57,56
Clube de Regatas do Flamengo,2016,Ecuador,65.0,1.76,25.5,37,37
Club Estudiantes de La Plata,2016,Ecuador,25.6,0.753,23.6,34,34
Club Atlético Independiente,2016,Ecuador,60.7,1.38,25.2,44,44
Club Atlético Lanús,2016,Ecuador,34.1,0.775,25.8,44,44
CA Banfield,2016,Ecuador,19.7,0.532,23.5,37,37
Cuiabá Esporte Clube (MT),2016,Ecuador,2.25,0.113,28.1,20,20
Junior de Barranquilla,2016,Ecuador,19.48,0.464,25.6,42,42
Atlético Nacional,2016,Ecuador,30.08,0.537,23.6,56,56
CA San Lorenzo de Almagro,2016,Ecuador,50.65,1.27,26.3,40,40
Coritiba Foot Ball Club,2016,Ecuador,26.9,0.527,24.4,51,51
CS Emelec,2016,Ecuador,29.55,0.739,26.6,40,9
Independiente Medellín,2016,Ecuador,15.63,0.473,24.6,33,33
Sport Club do Recife,2016,Ecuador,68.45,1.29,25.5,53,53
Bolívar La Paz,2016,Ecuador,8.68,0.263,27.0,33,32
Associação Chapecoense de Futebol,2016,Ecuador,41.05,0.733,27.3,56,56
Montevideo Wanderers,2016,Ecuador,13.75,0.327,23.8,42,42
CD Palestino,2016,Ecuador,15.45,0.329,24.6,47,47
Blooming Santa Cruz,2016,Ecuador,2.0,0.095,27.7,21,21
Sport Huancayo,2016,Ecuador,6.45,0.174,26.6,37,37
Esporte Clube Vitória,2016,Ecuador,26.6,0.682,23.9,39,39
Club Atlético Belgrano,2016,Ecuador,30.13,0.772,27.3,39,39
Deportivo La Guaira,2016,Ecuador,7.08,0.147,24.7,48,48
Club Sol de América,2016,Ecuador,2.58,0.112,25.2,23,23
Cusco FC,2016,Ecuador,6.53,0.204,26.0,32,32
Zamora FC,2016,Ecuador,6.1,0.156,24.2,39,39
Figueirense Futebol Clube,2016,Ecuador,26.58,0.591,25.0,45,45
Sportivo Luqueño,2016,Ecuador,5.63,0.148,26.8,38,38
Real Potosí,2016,Ecuador,1.58,0.045,27.8,35,35
Santa Cruz Futebol Clube (PE),2016,Ecuador,24.25,0.516,25.4,47,46
Club Libertad Asunción,2016,Ecuador,11.0,0.289,27.0,38,38
Deportes Tolima,2016,Ecuador,18.0,0.346,26.1,52,52
CD Universidad Católica,2016,Ecuador,22.25,0.618,25.9,36,36
Barcelona SC Guayaquil,2016,Ecuador,22.35,0.721,25.1,31,3
CA Peñarol,2016,Ecuador,29.4,0.653,25.3,45,45
CD Universidad Católica,2016,Ecuador,17.25,0.431,23.4,40,6
Universitario de Deportes,2016,Ecuador,14.08,0.287,23.7,49,49
SD Aucas,2016,Ecuador,12.18,0.277,23.2,44,6
CD O'Higgins,2016,Ecuador,11.35,0.299,25.4,38,38
Club Jorge Wilstermann ,2016,Ecuador,3.25,0.163,27.7,20,20
Club Plaza Colonia,2016,Ecuador,8.6,0.205,24.6,42,41
Deportivo Municipal,2016,Ecuador,6.88,0.196,24.9,35,35
CA Fénix,2016,Ecuador,11.05,0.276,24.2,40,39
Deportivo Lara,2016,Ecuador,3.68,0.102,24.1,36,36
Universidad de Concepción,2016,Ecuador,11.68,0.285,25.8,41,41
Deportivo Anzoátegui SC,2016,Ecuador,5.1,0.109,25.6,47,47
CA River Plate,2015,Ecuador,56.25,1.08,24.2,52,51
Club Athletico Paranaense,2015,Ecuador,48.45,0.95,23.3,51,51
Club Atlético Independiente,2015,Ecuador,33.53,0.713,25.6,47,47
Club Atlético Lanús,2015,Ecuador,30.62,0.729,25.1,42,42
Club Libertad Asunción,2015,Ecuador,8.98,0.204,25.2,44,44
Junior de Barranquilla,2015,Ecuador,13.8,0.354,26.4,39,39
CA Huracán,2015,Ecuador,13.78,0.363,27.6,38,38
Deportes Tolima,2015,Ecuador,8.6,0.246,25.1,35,35
Club Nacional,2015,Ecuador,24.0,0.48,25.9,50,50
Club Olimpia Asunción,2015,Ecuador,14.0,0.438,27.7,32,32
Club Atlético Tigre,2015,Ecuador,18.5,0.44,26.0,42,42
CD Universidad Católica,2015,Ecuador,19.55,0.444,25.0,44,44
CS Emelec,2015,Ecuador,25.2,0.681,25.0,37,7
Esporte Clube Bahia,2015,Ecuador,28.68,0.404,24.4,71,71
Goiás Esporte Clube,2015,Ecuador,32.08,0.535,24.0,60,60
LDU Quito,2015,Ecuador,20.9,0.581,24.5,36,5
Sport Club do Recife,2015,Ecuador,44.1,0.919,24.5,48,48
Bolívar La Paz,2015,Ecuador,6.33,0.154,26.1,41,40
CD Universidad Católica,2015,Ecuador,18.05,0.401,23.0,45,6
Independiente Santa Fe,2015,Ecuador,18.23,0.456,25.4,40,39
Associação Atlética Ponte Preta SP,2015,Ecuador,30.8,0.57,24.2,54,54
Associação Chapecoense de Futebol,2015,Ecuador,28.6,0.715,27.4,40,40
Universitario de Deportes,2015,Ecuador,11.05,0.291,22.7,38,38
Arsenal Fútbol Club,2015,Ecuador,27.25,0.534,24.8,51,51
FBC Melgar,2015,Ecuador,6.7,0.186,25.0,36,36
Club Deportivo Oriente Petrolero,2015,Ecuador,4.1,0.087,27.4,47,47
CD Huachipato,2015,Ecuador,5.95,0.132,24.9,45,45
Águilas Doradas,2015,Ecuador,17.18,0.318,27.9,54,54
Defensor Sporting Club,2015,Ecuador,29.2,0.649,24.6,45,45
Club Nacional Asunción,2015,Ecuador,4.95,0.124,28.3,40,40
Danubio FC,2015,Ecuador,18.95,0.403,23.5,47,47
Club Atlético Belgrano,2015,Ecuador,13.98,0.368,26.4,38,38
Deportivo La Guaira,2015,Ecuador,3.2,0.082,26.2,39,39
Club Aurora,2015,Ecuador,0.4,0.009,28.5,47,47
CD Unión Comercio,2015,Ecuador,7.6,0.224,26.0,34,34
Carabobo FC,2015,Ecuador,2.25,0.059,23.6,38,38
Santiago Wanderers,2015,Ecuador,10.9,0.279,24.6,39,39
Juventud de Las Piedras,2015,Ecuador,10.15,0.236,24.5,43,43
Zamora FC,2015,Ecuador,0.45,0.013,24.8,34,34
Universidad de Concepción,2015,Ecuador,9.55,0.245,27.0,39,39
Sportivo Luqueño,2015,Ecuador,2.45,0.056,27.7,44,44
Real Potosí,2015,Ecuador,0.85,0.017,27.8,50,50
Joinville Esporte Clube (SC),2015,Ecuador,29.67,0.549,24.7,54,54
CD León de Huánuco,2015,Ecuador,7.18,0.175,25.2,41,41
LDU de Loja,2015,Ecuador,10.9,0.248,23.5,44,8
Deportivo Anzoátegui SC,2015,Ecuador,1.9,0.056,26.7,34,34
Brasília Futebol Clube (DF),2015,Ecuador,1.35,0.054,28.0,25,25
CA River Plate,2014,Ecuador,46.05,0.94,24.6,49,48
CA Boca Juniors,2014,Ecuador,52.75,0.894,24.5,59,59
Sport Club Internacional,2014,Ecuador,32.6,0.758,24.5,43,43
São Paulo FC,2014,Ecuador,89.1,2.12,25.9,42,42
Fluminense Football Club,2014,Ecuador,47.9,1.2,24.1,40,40
Club Estudiantes de La Plata,2014,Ecuador,32.35,0.688,25.0,47,47
Club Atlético Lanús,2014,Ecuador,26.87,0.689,24.7,39,39
Club Libertad Asunción,2014,Ecuador,6.98,0.218,26.1,32,32
Club Cerro Porteño,2014,Ecuador,9.35,0.26,25.3,36,36
CD Godoy Cruz Antonio Tomba,2014,Ecuador,20.85,0.417,24.9,50,49
Millonarios FC,2014,Ecuador,17.88,0.526,25.5,34,34
Atlético Nacional,2014,Ecuador,20.9,0.486,24.7,43,43
CD Universidad Católica,2014,Ecuador,23.45,0.558,24.9,42,42
Club de Gimnasia y Esgrima La Plata,2014,Ecuador,15.36,0.357,24.8,43,43
CS Emelec,2014,Ecuador,28.13,0.67,24.5,42,8
Barcelona SC Guayaquil,2014,Ecuador,29.4,0.639,25.7,46,11
Independiente del Valle,2014,Ecuador,19.05,0.706,23.4,27,5
Esporte Clube Bahia,2014,Ecuador,17.65,0.321,25.1,55,55
CA Peñarol,2014,Ecuador,21.0,0.477,26.8,44,44
CA Rosario Central,2014,Ecuador,12.3,0.286,25.0,43,43
Goiás Esporte Clube,2014,Ecuador,8.0,0.205,24.2,39,39
Deportivo Cali,2014,Ecuador,18.05,0.347,24.3,52,51
Sport Club do Recife,2014,Ecuador,15.45,0.262,25.9,59,59
CD Universidad Católica,2014,Ecuador,15.38,0.416,21.7,37,4
Club Alianza Lima,2014,Ecuador,7.33,0.203,24.3,36,36
Atletico River Plate Montevideo,2014,Ecuador,10.35,0.28,24.3,37,37
Club Jorge Wilstermann ,2014,Ecuador,1.23,0.064,26.8,19,19
CD Huachipato,2014,Ecuador,7.2,0.176,25.4,41,41
Águilas Doradas,2014,Ecuador,18.28,0.358,27.7,51,51
Universidad César Vallejo,2014,Ecuador,4.58,0.139,25.1,33,33
CD Cobresal,2014,Ecuador,6.28,0.157,26.6,40,40
Ayacucho FC,2014,Ecuador,4.8,0.126,26.8,38,38
CA Nacional Potosí,2014,Ecuador,1.15,0.064,24.7,18,18
Universidad Técnica de Cajamarca,2014,Ecuador,7.03,0.227,27.0,31,31
Danubio FC,2014,Ecuador,15.38,0.32,23.9,48,48
CA Rentistas,2014,Ecuador,8.83,0.201,24.1,44,44
Caracas FC,2014,Ecuador,1.03,0.039,24.6,26,26
Esporte Clube Vitória,2014,Ecuador,22.55,0.364,25.2,62,62
Deportivo La Guaira,2014,Ecuador,2.0,0.111,25.8,18,18
Criciúma Esporte Clube,2014,Ecuador,18.2,0.264,25.7,69,69
Club Universitario de Sucre,2014,Ecuador,2.35,0.112,27.3,21,21
Deportes Iquique,2014,Ecuador,9.83,0.228,25.0,43,43
Trujillanos FC,2014,Ecuador,1.1,0.038,25.7,29,29
GV Club Deportivo San José Oruro,2014,Ecuador,1.83,0.091,27.4,20,20
Club General Díaz de Luque,2014,Ecuador,0.75,0.033,25.7,23,23
Deportivo Capiatá,2014,Ecuador,1.55,0.06,27.6,26,26
Deportivo Anzoátegui SC,2014,Ecuador,1.85,0.05,25.7,37,37
CA River Plate,2013,Ecuador,55.73,1.11,24.5,50,49
São Paulo FC,2013,Ecuador,117.05,2.21,24.3,53,53
Racing Club,2013,Ecuador,50.6,1.3,25.1,39,39
CA Vélez Sarsfield,2013,Ecuador,48.85,1.19,23.3,41,41
Club Atlético Lanús,2013,Ecuador,36.98,0.84,24.0,44,44
Club Libertad Asunción,2013,Ecuador,9.33,0.274,25.0,34,34
Club Cerro Porteño,2013,Ecuador,13.98,0.325,26.3,43,42
Atlético Nacional,2013,Ecuador,18.85,0.496,24.0,38,38
CA San Lorenzo de Almagro,2013,Ecuador,41.8,0.836,24.8,50,50
Coritiba Foot Ball Club,2013,Ecuador,28.65,0.421,24.7,68,68
CSD Colo Colo,2013,Ecuador,20.28,0.406,24.8,50,50
CD Universidad Católica,2013,Ecuador,21.25,0.462,24.7,46,46
CS Emelec,2013,Ecuador,9.65,0.23,24.4,42,6
Barcelona SC Guayaquil,2013,Ecuador,19.1,0.434,25.3,44,10
Independiente del Valle,2013,Ecuador,4.28,0.119,22.3,36,5
Esporte Clube Bahia,2013,Ecuador,22.75,0.399,24.8,57,57
CA Peñarol,2013,Ecuador,21.35,0.454,25.7,47,47
Club Guaraní,2013,Ecuador,7.13,0.238,26.4,30,30
Sport Club do Recife,2013,Ecuador,4.73,0.115,25.9,41,41
Clube Náutico Capibaribe,2013,Ecuador,13.8,0.265,24.2,52,52
Associação Atlética Ponte Preta SP,2013,Ecuador,15.7,0.266,23.6,59,59
The Strongest La Paz,2013,Ecuador,1.48,0.053,27.0,28,28
FBC Melgar,2013,Ecuador,2.58,0.072,24.8,36,36
Universidad de Chile,2013,Ecuador,19.08,0.434,23.1,44,44
Club Deportivo Oriente Petrolero,2013,Ecuador,3.4,0.121,25.6,28,28
CD La Equidad Seguros SA,2013,Ecuador,15.9,0.318,25.7,50,50
Atletico River Plate Montevideo,2013,Ecuador,7.98,0.235,24.2,34,34
Montevideo Wanderers,2013,Ecuador,9.55,0.239,23.3,40,39
Águilas Doradas,2013,Ecuador,14.45,0.314,25.8,46,46
Blooming Santa Cruz,2013,Ecuador,4.55,0.134,27.7,34,34
Club Nacional Asunción,2013,Ecuador,1.75,0.088,26.4,20,20
Asociación Deportivo Pasto,2013,Ecuador,9.13,0.169,23.9,54,54
Ayacucho FC,2013,Ecuador,4.85,0.115,26.6,42,42
